Order Date,Sales
2014-01,14236.895
2014-02,4519.892
2014-03,55691.009
2014-04,28295.345
2014-05,23648.287
2014-06,34595.1276
2014-07,33946.393
2014-08,27909.4685
2014-09,81777.3508
2014-10,31453.393
2014-11,78628.7167
2014-12,69545.6205
2015-01,18174.0756
2015-02,11951.411
2015-03,38726.252
2015-04,34195.2085
2015-05,30131.6865
2015-06,24797.292
2015-07,28765.325
2015-08,36898.3322
2015-09,64595.918
2015-10,31404.9235
2015-11,75972.5635
2015-12,74919.5212
2016-01,18542.490999999998
2016-02,22978.815
2016-03,51715.875
2016-04,38750.039000000004
2016-05,56987.728
2016-06,40344.534
2016-07,39261.963
2016-08,31115.3743
2016-09,73410.0249
2016-10,59687.745
2016-11,79411.9658
2016-12,96999.043
2017-01,43971.374
2017-02,20301.1334
2017-03,58872.3528
2017-04,36521.5361
2017-05,44261.1102
2017-06,52981.7257
2017-07,45264.416
2017-08,63120.888
2017-09,87866.652
2017-10,77776.9232
2017-11,118447.825
2017-12,83829.3188
